# HIKARI AI CHATBOT - 1500 QUESTIONS & ANSWERS DATABASE
# Format: Q: [Question] | A: [Answer]

# === HỆ THỐNG HIKARI ===
Q: Hikari có khóa học luyện thi JLPT cấp tốc không? | A: Có, Hikari cung cấp khóa luyện thi N2 và N1 cấp tốc với lịch học tập trung, bài thi thử hàng tuần, thời lượng 100-150 giờ.

Q: Điểm thi JLPT được lưu trữ ở đâu trên Hikari? | A: Điểm thi thử được lưu trong bảng TestTopScorer, có thể xem trong mục "Kết quả thi" của tài khoản.

Q: Thi thử JLPT trên Hikari có mất phí không? | A: Miễn phí cho học viên đã đăng ký khóa học. Khách chưa đăng ký có thể tham gia với phí 50.000 VNĐ/lần.

Q: Tôi có thể tải đề thi thử JLPT từ Hikari không? | A: Không, đề thi thử chỉ làm online trong hệ thống Hikari để đảm bảo tính bảo mật và công bằng.

Q: Hikari có cung cấp mẹo thi JLPT không? | A: Có, mỗi khóa học JLPT có mục "Mẹo làm bài" với chiến lược quản lý thời gian, ưu tiên câu hỏi, và phân tích lỗi phổ biến.

Q: JLPT có phần thi nói không? | A: Không, JLPT chỉ kiểm tra Ngữ pháp/Từ vựng, Đọc hiểu và Nghe hiểu. Kỹ năng nói được đánh giá trong các khóa học Hikari.

Q: Tôi có thể xem đáp án bài thi thử JLPT không? | A: Có, sau khi hoàn thành thi thử, bạn nhận được đáp án chi tiết và giải thích trong mục "Kết quả thi".

Q: Hikari có hỗ trợ luyện thi EJU không? | A: Hiện tại Hikari chỉ tập trung vào JLPT, nhưng đang phát triển khóa luyện thi EJU cho du học sinh trong tương lai.

# === HIRAGANA VÀ KATAKANA ===
Q: Hiragana là gì? | A: Hiragana là bảng chữ cái tiếng Nhật gồm 46 ký tự cơ bản, dùng viết từ thuần Nhật, trợ từ ngữ pháp, okurigana. Là nền tảng đầu tiên cần học.

Q: Katakana dùng để làm gì? | A: Katakana dùng viết từ vựng ngoại lai (từ tiếng Anh, Pháp...), tên nước ngoài, onomatopoeia (từ tượng thanh), nhấn mạnh từ ngữ.

Q: Học Hiragana bao lâu? | A: Người bình thường học Hiragana trong 2-4 tuần nếu luyện tập đều đặn mỗi ngày 30-60 phút. Quan trọng là viết nhiều lần để ghi nhớ.

Q: Cách nhớ Hiragana hiệu quả? | A: Học theo thứ tự a-ka-sa-ta-na-ha-ma-ya-ra-wa, viết nhiều lần, dùng flashcard, học qua từ vựng thực tế, luyện đọc văn bản đơn giản.

Q: Katakana có khó hơn Hiragana không? | A: Katakana có hình dáng góc cạnh hơn nên một số người thấy khó nhớ hơn. Nhưng cách học tương tự Hiragana, cần luyện viết và đọc nhiều.

Q: Dakuten và Handakuten là gì? | A: Dakuten (゛) và Handakuten (゜) là dấu phụ thêm vào Hiragana/Katakana để tạo âm mới. VD: か→が, は→ば, は→ぱ. Tổng cộng có thêm 25 âm.

Q: Có cần học thuộc lòng cả 2 bảng chữ không? | A: Có! Hiragana và Katakana là nền tảng bắt buộc. Không thể học tiếng Nhật mà không biết 2 bảng chữ này. Cần thuộc lòng 100%.

Q: Hikari có bài tập Hiragana/Katakana không? | A: Có, khóa N5 Cơ bản có bài tập viết, đọc, và nhận biết Hiragana/Katakana trong bảng Exercise, kèm video hướng dẫn.

Q: Cách phân biệt chữ Hiragana giống nhau? | A: Một số chữ dễ nhầm (さ/ち, ね/れ). Hãy tập trung vào nét đặc trưng, viết tay nhiều lần, dùng flashcard có hình minh họa.

Q: Katakana có được dùng trong văn bản trang trọng không? | A: Ít được dùng trong văn trang trọng, chủ yếu cho từ mượn, tên riêng, hoặc nhấn mạnh. Văn trang trọng ưu tiên Kanji và Hiragana.

Q: Tôi có thể học Hiragana qua trò chơi không? | A: Có, Hikari tích hợp trò chơi nhận diện Hiragana trong khóa N5, như ghép chữ, đố vui, và bài tập tương tác.

Q: Cách luyện viết Hiragana đẹp? | A: Sử dụng giấy genkoyoshi, viết theo thứ tự nét chuẩn, luyện tập đều đặn, xem video hướng dẫn viết trên Hikari.

Q: Katakana có xuất hiện trong JLPT N5 không? | A: Có, JLPT N5 kiểm tra cả Hiragana và Katakana trong phần từ vựng và đọc hiểu. Bạn cần nắm vững cả hai.

Q: Hikari có tài liệu luyện tập Hiragana không? | A: Có, tài liệu PDF và flashcard Hiragana có trong bảng Document, tải miễn phí trong khóa N5 Cơ bản.

Q: Tôi có thể bỏ qua Katakana để học Kanji trước không? | A: Không nên, Katakana là nền tảng cần học trước để đọc từ mượn và văn bản đơn giản. Kanji phức tạp hơn, cần học sau.

Q: Cách nhận biết từ Katakana trong văn bản? | A: Từ Katakana thường là từ mượn (computer, coffee), tên nước ngoài (America), hoặc onomatopoeia (ドキドキ). Nhận diện qua hình dáng góc cạnh.

Q: Hiragana có thay đổi theo thời gian không? | A: Hiragana hiện đại được chuẩn hóa từ thế kỷ 20, ít thay đổi. Một số ký tự cổ (ゐ, ゑ) không còn dùng nữa.

Q: Tôi có thể học Hiragana qua âm nhạc không? | A: Có, Hikari cung cấp bài hát và video âm nhạc dạy Hiragana trong khóa N5, giúp học sinh ghi nhớ qua giai điệu.

Q: Cách học Dakuten và Handakuten nhanh? | A: Học theo nhóm (か→が, さ→ざ), dùng flashcard, luyện viết từ có Dakuten/Handakuten, nghe phát âm chuẩn trên Hikari.

Q: Katakana có cần thiết cho giao tiếp hàng ngày không? | A: Có, vì Katakana xuất hiện trong menu nhà hàng, tên sản phẩm, biển quảng cáo. Không biết Katakana sẽ khó giao tiếp thực tế.

# === KANJI ===
Q: Kanji là gì? | A: Kanji là chữ Hán được Nhật Bản tiếp nhận và cải biến. Mỗi chữ Kanji có nghĩa riêng, có thể có nhiều cách đọc (âm On và âm Kun).

Q: Có bao nhiêu chữ Kanji? | A: Có hàng chục nghìn chữ Kanji, nhưng người Nhật thường dùng khoảng 3000-4000 chữ. JLPT yêu cầu: N5 (100), N4 (300), N3 (650), N2 (1000), N1 (2000+).

Q: Âm On và âm Kun khác nhau như thế nào? | A: Âm On là cách đọc gốc Trung Hoa (thường dùng trong từ ghép), âm Kun là cách đọc thuần Nhật (thường dùng khi đứng một mình). VD: 水 - On: すい, Kun: みず.

Q: Cách học Kanji hiệu quả nhất? | A: Học Kanji qua: bộ thủ (radical), câu chuyện ghi nhớ, flashcard, viết nhiều lần, học trong ngữ cảnh (từ vựng, câu văn), luyện tập đều đặn.

Q: Bộ thủ Kanji là gì? | A: Bộ thủ là thành phần cơ bản tạo nên Kanji, cho biết nghĩa gần đúng. VD: 氵(nước): 海, 川, 池; 木(cây): 森, 林, 桜. Có 214 bộ thủ cơ bản.

Q: Kanji N5 gồm những chữ nào? | A: Kanji N5 có 100 chữ cơ bản nhất: số (一二三), thời gian (日月年), người (人男女), nước (国中大小), màu sắc (白黒赤), v.v.

Q: Học Kanji N4 cần lưu ý gì? | A: Kanji N4 có 300 chữ, phức tạp hơn N5. Cần học âm On-Kun, từ ghép, cách viết đúng nét. Luyện đọc văn bản có Kanji thường xuyên.

Q: Kanji N3 khó như thế nào? | A: Kanji N3 có 650 chữ, nhiều chữ có 3-4 cách đọc khác nhau. Xuất hiện trong văn bản dài, tin tức. Cần học nghiêm túc và kiên trì.

Q: Có nên học Kanji trước khi học từ vựng? | A: Nên học song song. Học Kanji riêng lẻ dễ quên, học qua từ vựng và câu văn sẽ nhớ lâu hơn và hiểu cách sử dụng thực tế.

Q: Ứng dụng nào tốt để học Kanji? | A: Anki (flashcard), Wanikani (hệ thống SRS), Kanji Study, Obenkyo. Hikari cũng có hệ thống luyện Kanji tích hợp với flashcard miễn phí.

Q: Hikari có bài tập Kanji không? | A: Có, khóa Kanji Mastery và các khóa JLPT có bài tập viết, đọc, và nhận diện Kanji trong bảng Exercise.

Q: Kanji N2 cần bao lâu để học? | A: Kanji N2 (1000 chữ) cần 1-2 năm nếu học 5-10 chữ/ngày, kết hợp ôn tập đều đặn và sử dụng trong ngữ cảnh.

Q: Tôi có thể học Kanji qua manga không? | A: Có, manga có furigana giúp học Kanji dễ hơn. Bắt đầu với manga đơn giản như Doraemon, Yotsuba&!.

Q: Cách phân biệt Kanji giống nhau? | A: Tập trung vào bộ thủ, số nét, ngữ cảnh sử dụng. Dùng flashcard so sánh (VD: 見 vs 貝), luyện viết tay để ghi nhớ.

Q: Kanji có xuất hiện trong phần nghe JLPT không? | A: Không trực tiếp, nhưng từ vựng có Kanji xuất hiện trong hội thoại, cần hiểu nghĩa để trả lời câu hỏi nghe.

Q: Hikari có cung cấp danh sách Kanji không? | A: Có, danh sách Kanji theo cấp độ JLPT được lưu trong bảng Document, tải miễn phí trong các khóa học.

Q: Cách học Kanji qua bộ thủ hiệu quả? | A: Học 20-30 bộ thủ phổ biến trước (氵, 木, 口), tìm Kanji liên quan, tạo câu chuyện liên kết nghĩa và hình dáng.

Q: Kanji N1 có bao gồm Kanji hiếm không? | A: Có, N1 có khoảng 2000+ Kanji, bao gồm một số Kanji hiếm dùng trong văn bản học thuật, báo chí, văn học.

Q: Tôi có thể bỏ qua Kanji để học hội thoại không? | A: Có thể học hội thoại cơ bản, nhưng Kanji cần thiết để đọc hiểu và giao tiếp nâng cao, đặc biệt ở N3 trở lên.

Q: Hikari có video hướng dẫn viết Kanji không? | A: Có, khóa Kanji Mastery có video hướng dẫn thứ tự nét và cách viết Kanji chuẩn, lưu trong bảng Lesson (mediaUrl).

# === NGỮ PHÁP ===
Q: Ngữ pháp tiếng Nhật có khó không? | A: Ngữ pháp tiếng Nhật khác tiếng Việt: trật tự SOV (chủ-tân-vị), động từ chia theo thời, thể, mức độ lịch sự. Cần thời gian làm quen nhưng có quy tắc rõ ràng.

Q: Thể lịch sự trong tiếng Nhật là gì? | A: Tiếng Nhật có nhiều mức độ lịch sự: thường (だ/である), lịch sự (です/ます), kính ngữ (尊敬語), khiêm nhường ngữ (謙譲語), trang trọng (丁寧語).

Q: Động từ tiếng Nhật chia như thế nào? | A: Động từ chia theo: thời gian (hiện tại/quá khứ), thể (khẳng định/phủ định), mức độ lịch sự (thường/lịch sự), dạng (て形, た形, ない形, v.v.).

Q: て形 dùng để làm gì? | A: て形 có nhiều chức năng: nối câu (食べて寝る), thể tiếp diễn (食べている), xin phép (食べてもいい), cấm đoán (食べてはいけない), v.v.

Q: Trợ từ は và が khác nhau như thế nào? | A: は đánh dấu chủ đề câu (topic), が đánh dấu chủ ngữ (subject). VD: 私は学生です (Tôi là học sinh - nói về tôi), 誰が来ましたか (Ai đã đến? - hỏi chủ ngữ).

Q: に và で khác nhau ra sao? | A: に chỉ thời gian cụ thể, mục đích, hướng, vị trí tồn tại. で chỉ địa điểm hành động, phương tiện, nguyên nhân. VD: 学校に行く (đi đến trường), 学校で勉強する (học ở trường).

Q: を dùng khi nào? | A: を đánh dấu tân ngữ trực tiếp (direct object). VD: りんごを食べる (ăn táo), 本を読む (đọc sách), 日本語を勉強する (học tiếng Nhật).

Q: Ngữ pháp N5 có những mẫu nào? | A: N5 có ~80 mẫu cơ bản: です/ます, た形, ない形, て形, たい形, ている, てもいい, てはいけない, つもり, でしょう, v.v.

Q: Cách học ngữ pháp hiệu quả? | A: Học ngữ pháp qua: ví dụ cụ thể, luyện tập nhiều, đọc văn bản thực tế, nghe hội thoại, làm bài tập đa dạng, không học thuộc lòng mà hiểu cách dùng.

Q: Sách ngữ pháp nào hay? | A: Minna no Nihongo (cơ bản), Genki (sinh động), Tobira (nâng cao), Shin Kanzen Master (luyện thi), Try! (theo cấp độ JLPT).

Q: Ngữ pháp N4 có bao nhiêu mẫu? | A: N4 có khoảng 200 mẫu ngữ pháp, bao gồm các cấu trúc như ながら, たり, ても, ば形, 意向形, và các mẫu điều kiện.

Q: Ngữ pháp N3 khác N4 như thế nào? | A: N3 có thêm 370 mẫu, phức tạp hơn với các cấu trúc như つもりだ, らしい, ようにする, và các mẫu biểu đạt giả định, nguyên nhân.

